ID,Color,Size,Owner,AppraisedValue
pc1,blue,5,Somchart Number1,3000
pc2,red,5,JACKSON EIEI,4200
pc3,green,10,Jin Soo,500
pc4,yellow,10,Max,600
pc5,black,15,Adriana,700
pc6,white,15,Michel,800
pc7,lightblue,10,Stone,2000
pc8,brown,20,Ceasar,1000
pc9,grey,25,CPABE,200
pc10,rainbow,15,Suffering,350
pc11,blue,5,Somchart Number1,3000
pc12,red,5,JACKSON EIEI,4200
pc13,green,10,Jin Soo,500
pc14,yellow,10,Max,600
pc15,black,15,Adriana,700
pc16,white,15,Michel,800
pc17,lightblue,10,Stone,2000
pc18,brown,20,Ceasar,1000
pc19,grey,25,CPABE,200
pc20,rainbow,15,Suffering,350
